,trackId,trackTitle,artistName,genre,nearest_trackId,nearest_trackTitle,nearest_artistName,nearest_genre,min_distance
197,49577451,Crazy Train,Ozzy Osbourne,rock,38717088,Cowboys From Hell  (LP Version),Pantera,rock,0.13462505852354534
198,48796826,Voyage to Atlantis,The Isley Brothers,pop,34899695,"For the Love of You, Pts. 1 & 2",The Isley Brothers,pop,0.09847080964721444
199,41517604,River,Leon Bridges,soul,41517606,Changes,Charles Bradley,rnb,0.27200704238477535
200,36819219,Freak On a Leash,Korn,rock,38933199,Down With The Sickness,Disturbed,rock,0.12141571429485665
201,14142243,Sweet Dreams (Are Made Of This),Marilyn Manson,rock,14142453,The Dope Show,Marilyn Manson,rock,0.17469465784571536
202,46864205,Brick House,The Commodores,pop,33525528,Boogie Wonderland,"Earth, Wind & Fire",pop,0.18390039865190322
203,14142334,The Beautiful People,Marilyn Manson,rock,29055846,Bulls on Parade (Album Version),Rage Against The Machine,rock,0.1521964403742313
204,38933199,Down With The Sickness,Disturbed,rock,41433349,I Stand Alone,Godsmack,rock,0.07881245486774635
205,41620965,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,pop,40283755,You Can't Hurry Love,The Supremes,rnb,0.1778132465207859
206,29060663,Ain't Too Proud To Beg,The Temptations,rnb,46952510,It's A Shame,Spinners,soul,0.15722075344998054
207,51450473,Hells Bells,AC/DC,rock,53469098,Highway To Hell,AC/DC,rock,0.06726435274010578
208,31945938,Inner City Blues (Make Me Wanna Holler),Marvin Gaye,rnb,35033759,We The People Who Are Darker Than Blue,Curtis Mayfield,soul,0.19662972151314317
209,46858435,I'd Rather Go Blind,Etta James,pop,29077450,All I Could Do Was Cry,Etta James,pop,0.17021817283150942
210,54600844,Papa Was A Rollin' Stone,The Temptations,rnb,27622495,"It's A Man's, Man's, Man's World",James Brown,rnb,0.17578961902390355
211,53758246,Get Up (I Feel Like Being A) Sex Machine,James Brown,rnb,34904258,Thank You (Falettinme Be Mice Elf Agin) (single master),Sly & The Family Stone,pop,0.20149469641978124
212,11175437,That Girl,Stevie Wonder,rnb,46869618,Never Too Much,Luther Vandross,pop,0.1995168755444061
213,31117435,Rock You Like a Hurricane,Scorpions,rock,46924245,The Trooper (1998 Remastered Version),Iron Maiden,rock,0.13923837913006443
214,47006875,Midnight Train to Georgia,Gladys Knight & The Pips,pop,40309960,Just My Imagination (Running Away With Me),The Temptations,rnb,0.17103465359229797
215,37972833,The Best (Edit),Tina Turner,pop,41624223,We Don't Need Another Hero (Thunderdome),Tina Turner,pop,0.27160832297004556
216,47138543,The Payback,James Brown,rnb,46865664,If You Want Me To Stay,Sly & The Family Stone,pop,0.21562613269644015
217,47073227,Proud Mary,Creedence Clearwater Revival,rock,47049328,Mercedes Benz (Album Version),Janis Joplin,pop,0.2416126057920387
218,34822939,Aerials (Album Version),System Of A Down,pop,34822937,Toxicity (Album Version),System Of A Down,pop,0.03114196502406985
219,48896668,Time (2011 Remastered Version),Pink Floyd,pop,48896670,Money (2011 Remastered Version),Pink Floyd,pop,0.13484143561203998
220,47819288,If Only for One Night,Luther Vandross,pop,51502939,Forever Mine,The O'Jays,pop,0.11616924952429986
221,29094810,Stubborn Love,The Lumineers,pop,41664051,Ho Hey,The Lumineers,pop,0.25290973995286736
222,34899737,"Footsteps in the Dark, Pts. 1 & 2",The Isley Brothers,pop,34899695,"For the Love of You, Pts. 1 & 2",The Isley Brothers,pop,0.075926812133145
223,55810923,Little Wing,Jimi Hendrix,rock,47815251,Hey Joe,Jimi Hendrix,rock,0.1776609749121827
224,31120481,Dreamer,Ozzy Osbourne,rock,29086176,Run to the Hills (1998 Remastered Version),Iron Maiden,rock,0.16201533732620166
225,47927783,If You Think You're Lonely Now,Bobby Womack,rnb,50234144,That's The Way I Feel About 'Cha,Bobby Womack,rnb,0.09906624393040764
226,46924245,The Trooper (1998 Remastered Version),Iron Maiden,rock,49648703,Painkiller,Judas Priest,rock,0.08428434545811136
227,46860601,Easy,The Commodores,pop,31500144,"Never, Never Gonna Give Ya Up",Barry White,pop,0.2877251282337844
228,52668750,Iron Man,Black Sabbath,rock,47716442,Crazy Train (Remastered),Ozzy Osbourne,rock,0.16935838609639664
229,41584112,School's Out,Alice Cooper,rock,38717090,No More Mr. Nice Guy (Album Version),Alice Cooper,rock,0.22522012996178364
230,47021901,Holy Diver,Dio,rock,49398540,Don't Talk To Strangers,Dio,rock,0.09026422574803383
231,47963579,Proud Mary,Tina Turner,pop,47016448,Respect,Aretha Franklin,soul,0.26151471775510826
232,47408883,I Love The Dough (feat. Jay-Z & Angela Winbush) [2014 Remastered Version],The Notorious B.I.G.,hiphop,47408646,Warning,The Notorious B.I.G.,hiphop,0.12037083393080239
233,31117080,Send Me An Angel,Scorpions,rock,46858253,Wind Of Change,Scorpions,rock,0.16318421332005428
